Varsta 23
Ocupatie Inginer
Mana dreptaci
Foloseste stanga

=== SESSION START: 2025-06-13 20:12:55 ===
[2025-06-13 20:18:40.632] UART: {'type': 'volume', 'key': '1', 'value': 3281}
[2025-06-13 20:18:40.650] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:40.742] UART: {'type': 'volume', 'key': '1', 'value': 2639}
[2025-06-13 20:18:40.766] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:40.866] UART: {'type': 'volume', 'key': '1', 'value': 2169}
[2025-06-13 20:18:40.908] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:40.999] UART: {'type': 'volume', 'key': '1', 'value': 1777}
[2025-06-13 20:18:41.019] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:41.525] UART: {'type': 'volume', 'key': '1', 'value': 1535}
[2025-06-13 20:18:41.550] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:41.647] UART: {'type': 'volume', 'key': '1', 'value': 1152}
[2025-06-13 20:18:41.675] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:41.799] UART: {'type': 'volume', 'key': '1', 'value': 830}
[2025-06-13 20:18:41.818] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:41.902] UART: {'type': 'volume', 'key': '1', 'value': 590}
[2025-06-13 20:18:41.934] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:42.032] UART: {'type': 'volume', 'key': '1', 'value': 351}
[2025-06-13 20:18:42.055] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:42.162] UART: {'type': 'volume', 'key': '1', 'value': 172}
[2025-06-13 20:18:42.210] UART: {'type': 'proxy', 'key': 'distance', 'value': 9}
[2025-06-13 20:18:42.307] UART: {'type': 'volume', 'key': '1', 'value': 0}
[2025-06-13 20:18:42.344] UART: {'type': 'proxy', 'key': 'distance', 'value': 28}
[2025-06-13 20:18:45.444] UART: {'type': 'volume', 'key': '0', 'value': 1894}
[2025-06-13 20:18:45.472] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:45.570] UART: {'type': 'volume', 'key': '0', 'value': 2027}
[2025-06-13 20:18:45.596] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:45.702] UART: {'type': 'volume', 'key': '0', 'value': 2096}
[2025-06-13 20:18:45.722] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:46.233] UART: {'type': 'volume', 'key': '0', 'value': 1884}
[2025-06-13 20:18:46.251] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:46.356] UART: {'type': 'volume', 'key': '0', 'value': 1616}
[2025-06-13 20:18:46.376] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:46.483] UART: {'type': 'volume', 'key': '0', 'value': 1437}
[2025-06-13 20:18:46.521] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:46.630] UART: {'type': 'volume', 'key': '0', 'value': 1344}
[2025-06-13 20:18:46.647] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:46.750] UART: {'type': 'volume', 'key': '0', 'value': 1293}
[2025-06-13 20:18:46.774] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:46.983] UART: {'type': 'volume', 'key': '0', 'value': 1189}
[2025-06-13 20:18:47.019] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:47.530] UART: {'type': 'volume', 'key': '0', 'value': 1443}
[2025-06-13 20:18:47.564] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:47.666] UART: {'type': 'volume', 'key': '0', 'value': 1806}
[2025-06-13 20:18:47.690] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:47.799] UART: {'type': 'volume', 'key': '0', 'value': 1958}
[2025-06-13 20:18:47.821] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:48.021] UART: {'type': 'volume', 'key': '0', 'value': 1759}
[2025-06-13 20:18:48.046] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:48.151] UART: {'type': 'volume', 'key': '0', 'value': 1337}
[2025-06-13 20:18:48.172] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:48.277] UART: {'type': 'volume', 'key': '0', 'value': 1009}
[2025-06-13 20:18:48.312] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:48.409] UART: {'type': 'volume', 'key': '0', 'value': 890}
[2025-06-13 20:18:48.431] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:48.528] UART: {'type': 'volume', 'key': '0', 'value': 834}
[2025-06-13 20:18:48.553] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:48.657] UART: {'type': 'volume', 'key': '0', 'value': 770}
[2025-06-13 20:18:48.681] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:49.283] UART: {'type': 'volume', 'key': '0', 'value': 650}
[2025-06-13 20:18:49.334] UART: {'type': 'proxy', 'key': 'distance', 'value': 8191}
[2025-06-13 20:18:49.828] UART: {'type': 'volume', 'key': '0', 'value': 384}
[2025-06-13 20:18:49.861] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:49.958] UART: {'type': 'volume', 'key': '0', 'value': 192}
[2025-06-13 20:18:49.979] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:50.085] UART: {'type': 'volume', 'key': '0', 'value': 128}
[2025-06-13 20:18:50.109] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:52.800] UART: {'type': 'volume', 'key': '0', 'value': 373}
[2025-06-13 20:18:52.810] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:52.834] UART: {'type': 'volume', 'key': '0', 'value': 487}
[2025-06-13 20:18:52.859] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:52.961] UART: {'type': 'volume', 'key': '0', 'value': 688}
[2025-06-13 20:18:52.985] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:53.092] UART: {'type': 'volume', 'key': '0', 'value': 791}
[2025-06-13 20:18:53.115] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:53.729] UART: {'type': 'volume', 'key': '0', 'value': 898}
[2025-06-13 20:18:53.738] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:53.982] UART: {'type': 'volume', 'key': '0', 'value': 1003}
[2025-06-13 20:18:53.988] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:54.069] UART: {'type': 'volume', 'key': '0', 'value': 1177}
[2025-06-13 20:18:54.093] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:54.218] UART: {'type': 'volume', 'key': '0', 'value': 1338}
[2025-06-13 20:18:54.224] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:54.324] UART: {'type': 'volume', 'key': '0', 'value': 1572}
[2025-06-13 20:18:54.349] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:54.452] UART: {'type': 'volume', 'key': '0', 'value': 1693}
[2025-06-13 20:18:54.474] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:55.382] UART: {'type': 'volume', 'key': '1', 'value': 70}
[2025-06-13 20:18:55.399] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:18:55.505] UART: {'type': 'volume', 'key': '1', 'value': 285}
[2025-06-13 20:18:55.528] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
