Varsta 22
Ocupatie Inginer
Mana stangaci
Foloseste stanga

=== SESSION START: 2025-06-14 13:15:38 ===
[2025-06-14 13:21:12.690] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:21:12.706] UART: {'type': 'proxy', 'key': 'distance', 'value': 48}
[2025-06-14 13:21:32.963] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-14 13:21:32.972] UART: {'type': 'proxy', 'key': 'distance', 'value': 107}
[2025-06-14 13:21:57.884] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-14 13:21:57.893] UART: {'type': 'proxy', 'key': 'distance', 'value': 41}
[2025-06-14 13:22:11.873] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:22:11.887] UART: {'type': 'proxy', 'key': 'distance', 'value': 38}
[2025-06-14 13:22:12.608] UART: {'type': 'key', 'key': 'pressed', 'value': 49}
[2025-06-14 13:22:12.652] UART: {'type': 'proxy', 'key': 'distance', 'value': 30}
[2025-06-14 13:22:13.657] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:22:13.693] UART: {'type': 'proxy', 'key': 'distance', 'value': 29}
[2025-06-14 13:22:59.072] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-14 13:22:59.082] UART: {'type': 'proxy', 'key': 'distance', 'value': 52}
[2025-06-14 13:23:03.502] UART: {'type': 'key', 'key': 'pressed', 'value': 49}
[2025-06-14 13:23:03.517] UART: {'type': 'proxy', 'key': 'distance', 'value': 69}
[2025-06-14 13:23:04.688] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:23:04.726] UART: {'type': 'proxy', 'key': 'distance', 'value': 68}
[2025-06-14 13:23:09.496] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:23:09.508] UART: {'type': 'proxy', 'key': 'distance', 'value': 87}
[2025-06-14 13:23:13.459] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:23:13.469] UART: {'type': 'proxy', 'key': 'distance', 'value': 86}
[2025-06-14 13:23:16.087] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-14 13:23:16.096] UART: {'type': 'proxy', 'key': 'distance', 'value': 71}
[2025-06-14 13:23:18.551] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:23:18.559] UART: {'type': 'proxy', 'key': 'distance', 'value': 89}
[2025-06-14 13:23:25.766] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:23:25.800] UART: {'type': 'proxy', 'key': 'distance', 'value': 88}
[2025-06-14 13:23:27.047] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:23:27.093] UART: {'type': 'proxy', 'key': 'distance', 'value': 84}
[2025-06-14 13:23:27.600] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:23:27.633] UART: {'type': 'proxy', 'key': 'distance', 'value': 85}
