
=== SESSION START: 2025-06-12 22:25:36 ===
[2025-06-12 22:59:12.637] UART: {'type': 'proxy', 'key': 'distance', 'value': 59}
[2025-06-12 23:00:21.077] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:00:21.085] UART: {'type': 'proxy', 'key': 'distance', 'value': 63}
[2025-06-12 23:00:26.915] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:00:26.927] UART: {'type': 'proxy', 'key': 'distance', 'value': 50}
[2025-06-12 23:00:33.499] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:00:33.542] UART: {'type': 'proxy', 'key': 'distance', 'value': 54}
[2025-06-12 23:00:40.906] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:00:40.916] UART: {'type': 'proxy', 'key': 'distance', 'value': 47}
[2025-06-12 23:00:54.044] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:00:54.054] UART: {'type': 'proxy', 'key': 'distance', 'value': 50}
[2025-06-12 23:01:01.982] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:01:01.992] UART: {'type': 'proxy', 'key': 'distance', 'value': 47}
[2025-06-12 23:02:19.103] UART: {'type': 'volume', 'key': '1', 'value': 3632}
[2025-06-12 23:02:19.148] UART: {'type': 'proxy', 'key': 'distance', 'value': 20}
[2025-06-12 23:02:19.152] UART: {'type': 'volume', 'key': '1', 'value': 3449}
[2025-06-12 23:02:19.167] UART: {'type': 'proxy', 'key': 'distance', 'value': 23}
[2025-06-12 23:02:19.170] UART: {'type': 'volume', 'key': '1', 'value': 3294}
[2025-06-12 23:02:19.190] UART: {'type': 'proxy', 'key': 'distance', 'value': 23}
[2025-06-12 23:02:19.511] UART: {'type': 'volume', 'key': '1', 'value': 3600}
[2025-06-12 23:02:19.546] UART: {'type': 'proxy', 'key': 'distance', 'value': 26}
[2025-06-12 23:02:20.154] UART: {'type': 'volume', 'key': '1', 'value': 3450}
[2025-06-12 23:02:20.190] UART: {'type': 'proxy', 'key': 'distance', 'value': 25}
[2025-06-12 23:02:21.296] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-12 23:02:21.335] UART: {'type': 'proxy', 'key': 'distance', 'value': 28}
[2025-06-12 23:05:44.804] UART: {'type': 'key', 'key': 'pressed', 'value': 55}
[2025-06-12 23:05:44.823] UART: {'type': 'proxy', 'key': 'distance', 'value': 32}
[2025-06-12 23:07:18.078] UART: {'type': 'key', 'key': 'pressed', 'value': 55}
[2025-06-12 23:07:18.092] UART: {'type': 'proxy', 'key': 'distance', 'value': 34}
[2025-06-12 23:07:35.125] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:07:35.135] UART: {'type': 'proxy', 'key': 'distance', 'value': 56}
[2025-06-12 23:07:36.581] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:07:36.613] UART: {'type': 'proxy', 'key': 'distance', 'value': 53}
[2025-06-12 23:09:45.833] UART: {'type': 'key', 'key': 'pressed', 'value': 55}
[2025-06-12 23:09:45.850] UART: {'type': 'proxy', 'key': 'distance', 'value': 33}
[2025-06-12 23:10:02.632] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:10:02.642] UART: {'type': 'proxy', 'key': 'distance', 'value': 58}
[2025-06-12 23:10:10.486] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:10:10.495] UART: {'type': 'proxy', 'key': 'distance', 'value': 58}
[2025-06-12 23:11:05.081] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-12 23:11:05.088] UART: {'type': 'proxy', 'key': 'distance', 'value': 70}
[2025-06-12 23:11:53.549] UART: {'type': 'key', 'key': 'pressed', 'value': 55}
[2025-06-12 23:11:53.566] UART: {'type': 'proxy', 'key': 'distance', 'value': 32}
[2025-06-12 23:12:09.049] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:12:09.061] UART: {'type': 'proxy', 'key': 'distance', 'value': 51}
[2025-06-12 23:12:14.681] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:12:14.692] UART: {'type': 'proxy', 'key': 'distance', 'value': 55}
[2025-06-12 23:13:58.553] UART: {'type': 'key', 'key': 'pressed', 'value': 55}
[2025-06-12 23:13:58.571] UART: {'type': 'proxy', 'key': 'distance', 'value': 30}
[2025-06-12 23:14:16.127] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:14:16.132] UART: {'type': 'proxy', 'key': 'distance', 'value': 54}
[2025-06-12 23:14:21.117] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:14:21.126] UART: {'type': 'proxy', 'key': 'distance', 'value': 64}
[2025-06-12 23:16:40.081] UART: {'type': 'key', 'key': 'pressed', 'value': 55}
[2025-06-12 23:16:40.091] UART: {'type': 'proxy', 'key': 'distance', 'value': 45}
[2025-06-12 23:17:07.076] UART: {'type': 'key', 'key': 'pressed', 'value': 55}
[2025-06-12 23:17:07.091] UART: {'type': 'proxy', 'key': 'distance', 'value': 32}
[2025-06-12 23:17:18.588] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:17:18.597] UART: {'type': 'proxy', 'key': 'distance', 'value': 68}
[2025-06-12 23:18:00.055] UART: {'type': 'key', 'key': 'pressed', 'value': 55}
[2025-06-12 23:18:00.070] UART: {'type': 'proxy', 'key': 'distance', 'value': 30}
[2025-06-12 23:18:11.576] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:18:11.585] UART: {'type': 'proxy', 'key': 'distance', 'value': 61}
[2025-06-12 23:18:15.787] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:18:15.796] UART: {'type': 'proxy', 'key': 'distance', 'value': 55}
[2025-06-12 23:19:08.057] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:19:08.077] UART: {'type': 'proxy', 'key': 'distance', 'value': 59}
[2025-06-12 23:19:09.377] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 23:19:09.423] UART: {'type': 'proxy', 'key': 'distance', 'value': 45}
[2025-06-12 23:20:02.817] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 23:20:02.827] UART: {'type': 'proxy', 'key': 'distance', 'value': 57}
