Varsta 23
Ocupatie Student
Mana dreptaci
Foloseste dreapta

=== SESSION START: 2025-06-13 19:22:39 ===
[2025-06-13 19:24:06.003] UART: {'type': 'volume', 'key': '2', 'value': 716}
[2025-06-13 19:24:06.025] UART: {'type': 'proxy', 'key': 'distance', 'value': 24}
[2025-06-13 19:24:06.234] UART: {'type': 'volume', 'key': '2', 'value': 624}
[2025-06-13 19:24:06.259] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:24:07.157] UART: {'type': 'volume', 'key': '0', 'value': 2103}
[2025-06-13 19:24:07.183] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:24:07.185] UART: {'type': 'volume', 'key': '2', 'value': 707}
[2025-06-13 19:24:07.209] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:24:07.313] UART: {'type': 'volume', 'key': '0', 'value': 2032}
[2025-06-13 19:24:07.354] UART: {'type': 'proxy', 'key': 'distance', 'value': 0}
[2025-06-13 19:24:07.359] UART: {'type': 'volume', 'key': '2', 'value': 777}
[2025-06-13 19:24:07.395] UART: {'type': 'proxy', 'key': 'distance', 'value': 0}
[2025-06-13 19:24:07.496] UART: {'type': 'volume', 'key': '2', 'value': 853}
[2025-06-13 19:24:07.524] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:24:07.627] UART: {'type': 'volume', 'key': '2', 'value': 934}
[2025-06-13 19:24:07.668] UART: {'type': 'proxy', 'key': 'distance', 'value': 2}
[2025-06-13 19:24:07.775] UART: {'type': 'volume', 'key': '2', 'value': 1082}
[2025-06-13 19:24:07.813] UART: {'type': 'proxy', 'key': 'distance', 'value': 14}
[2025-06-13 19:24:07.915] UART: {'type': 'volume', 'key': '2', 'value': 1152}
[2025-06-13 19:24:07.957] UART: {'type': 'proxy', 'key': 'distance', 'value': 27}
[2025-06-13 19:24:08.055] UART: {'type': 'volume', 'key': '0', 'value': 1943}
[2025-06-13 19:24:08.098] UART: {'type': 'proxy', 'key': 'distance', 'value': 9}
[2025-06-13 19:24:08.221] UART: {'type': 'volume', 'key': '2', 'value': 1231}
[2025-06-13 19:24:08.244] UART: {'type': 'proxy', 'key': 'distance', 'value': 0}
[2025-06-13 19:24:08.345] UART: {'type': 'volume', 'key': '0', 'value': 1854}
[2025-06-13 19:24:08.393] UART: {'type': 'proxy', 'key': 'distance', 'value': 5}
[2025-06-13 19:24:08.395] UART: {'type': 'volume', 'key': '2', 'value': 1292}
[2025-06-13 19:24:08.437] UART: {'type': 'proxy', 'key': 'distance', 'value': 23}
[2025-06-13 19:24:08.536] UART: {'type': 'volume', 'key': '2', 'value': 1353}
[2025-06-13 19:24:08.577] UART: {'type': 'proxy', 'key': 'distance', 'value': 10}
[2025-06-13 19:24:08.680] UART: {'type': 'volume', 'key': '0', 'value': 1765}
[2025-06-13 19:24:08.727] UART: {'type': 'proxy', 'key': 'distance', 'value': 38}
[2025-06-13 19:24:08.728] UART: {'type': 'volume', 'key': '2', 'value': 1434}
[2025-06-13 19:24:08.766] UART: {'type': 'proxy', 'key': 'distance', 'value': 22}
[2025-06-13 19:24:08.869] UART: {'type': 'volume', 'key': '0', 'value': 1601}
[2025-06-13 19:24:08.911] UART: {'type': 'proxy', 'key': 'distance', 'value': 1}
[2025-06-13 19:24:08.914] UART: {'type': 'volume', 'key': '2', 'value': 1546}
[2025-06-13 19:24:08.967] UART: {'type': 'proxy', 'key': 'distance', 'value': 22}
[2025-06-13 19:24:09.055] UART: {'type': 'volume', 'key': '0', 'value': 1507}
[2025-06-13 19:24:09.102] UART: {'type': 'proxy', 'key': 'distance', 'value': 46}
[2025-06-13 19:24:09.394] UART: {'type': 'volume', 'key': '2', 'value': 1616}
[2025-06-13 19:24:09.445] UART: {'type': 'proxy', 'key': 'distance', 'value': 33}
[2025-06-13 19:24:09.545] UART: {'type': 'volume', 'key': '0', 'value': 1438}
[2025-06-13 19:24:09.587] UART: {'type': 'proxy', 'key': 'distance', 'value': 0}
[2025-06-13 19:24:09.594] UART: {'type': 'volume', 'key': '2', 'value': 1747}
[2025-06-13 19:24:09.612] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:24:09.714] UART: {'type': 'volume', 'key': '0', 'value': 1328}
[2025-06-13 19:24:09.738] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:24:09.738] UART: {'type': 'volume', 'key': '2', 'value': 1808}
[2025-06-13 19:24:09.770] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:24:09.884] UART: {'type': 'volume', 'key': '2', 'value': 1898}
[2025-06-13 19:24:09.897] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:24:09.994] UART: {'type': 'volume', 'key': '0', 'value': 1214}
[2025-06-13 19:24:10.020] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:24:10.024] UART: {'type': 'volume', 'key': '2', 'value': 1954}
[2025-06-13 19:24:10.043] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:24:10.154] UART: {'type': 'volume', 'key': '0', 'value': 1147}
[2025-06-13 19:24:10.174] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:24:10.178] UART: {'type': 'volume', 'key': '2', 'value': 2010}
[2025-06-13 19:24:10.198] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:24:10.905] UART: {'type': 'volume', 'key': '1', 'value': 592}
[2025-06-13 19:24:10.968] UART: {'type': 'proxy', 'key': 'distance', 'value': 67}
[2025-06-13 19:24:11.049] UART: {'type': 'volume', 'key': '1', 'value': 703}
[2025-06-13 19:24:11.085] UART: {'type': 'proxy', 'key': 'distance', 'value': 63}
[2025-06-13 19:24:12.696] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 19:24:12.735] UART: {'type': 'proxy', 'key': 'distance', 'value': 70}
[2025-06-13 19:24:18.927] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 19:24:18.934] UART: {'type': 'proxy', 'key': 'distance', 'value': 84}
[2025-06-13 19:24:21.169] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 19:24:21.177] UART: {'type': 'proxy', 'key': 'distance', 'value': 92}
[2025-06-13 19:24:23.038] UART: {'type': 'key', 'key': 'pressed', 'value': 54}
[2025-06-13 19:24:23.074] UART: {'type': 'proxy', 'key': 'distance', 'value': 83}
[2025-06-13 19:24:27.480] UART: {'type': 'key', 'key': 'pressed', 'value': 54}
[2025-06-13 19:24:27.488] UART: {'type': 'proxy', 'key': 'distance', 'value': 87}
[2025-06-13 19:24:27.609] UART: {'type': 'key', 'key': 'pressed', 'value': 54}
[2025-06-13 19:24:27.654] UART: {'type': 'proxy', 'key': 'distance', 'value': 88}
[2025-06-13 19:24:30.836] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 19:24:30.846] UART: {'type': 'proxy', 'key': 'distance', 'value': 90}
[2025-06-13 19:24:32.697] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 19:24:32.743] UART: {'type': 'proxy', 'key': 'distance', 'value': 86}
