Varsta 22
Ocupatie Student
Mana dreptaci
Foloseste dreapta

=== SESSION START: 2025-06-13 19:42:00 ===
[2025-06-13 20:05:00.712] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:00.786] UART: {'type': 'volume', 'key': '1', 'value': 903}
[2025-06-13 20:05:00.815] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:00.911] UART: {'type': 'volume', 'key': '1', 'value': 1114}
[2025-06-13 20:05:00.936] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:01.044] UART: {'type': 'volume', 'key': '1', 'value': 1169}
[2025-06-13 20:05:01.080] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:01.172] UART: {'type': 'volume', 'key': '1', 'value': 907}
[2025-06-13 20:05:01.205] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:01.296] UART: {'type': 'volume', 'key': '1', 'value': 501}
[2025-06-13 20:05:01.323] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:01.425] UART: {'type': 'volume', 'key': '1', 'value': 239}
[2025-06-13 20:05:01.455] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:01.551] UART: {'type': 'volume', 'key': '1', 'value': 0}
[2025-06-13 20:05:01.588] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:02.697] UART: {'type': 'volume', 'key': '0', 'value': 1157}
[2025-06-13 20:05:02.719] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:02.819] UART: {'type': 'volume', 'key': '0', 'value': 747}
[2025-06-13 20:05:02.843] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:02.946] UART: {'type': 'volume', 'key': '0', 'value': 438}
[2025-06-13 20:05:02.970] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:03.078] UART: {'type': 'volume', 'key': '0', 'value': 268}
[2025-06-13 20:05:03.101] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:03.799] UART: {'type': 'volume', 'key': '0', 'value': 0}
[2025-06-13 20:05:03.825] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:04.534] UART: {'type': 'volume', 'key': '0', 'value': 125}
[2025-06-13 20:05:04.557] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:04.656] UART: {'type': 'volume', 'key': '0', 'value': 282}
[2025-06-13 20:05:04.677] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:04.987] UART: {'type': 'volume', 'key': '0', 'value': 374}
[2025-06-13 20:05:05.006] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:05.111] UART: {'type': 'volume', 'key': '0', 'value': 758}
[2025-06-13 20:05:05.132] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:05.534] UART: {'type': 'volume', 'key': '0', 'value': 809}
[2025-06-13 20:05:05.557] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:06.278] UART: {'type': 'volume', 'key': '1', 'value': 93}
[2025-06-13 20:05:06.305] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:06.389] UART: {'type': 'volume', 'key': '1', 'value': 551}
[2025-06-13 20:05:06.425] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:06.517] UART: {'type': 'volume', 'key': '1', 'value': 850}
[2025-06-13 20:05:06.548] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:06.644] UART: {'type': 'volume', 'key': '1', 'value': 986}
[2025-06-13 20:05:06.676] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:06.971] UART: {'type': 'volume', 'key': '1', 'value': 315}
[2025-06-13 20:05:06.995] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:07.096] UART: {'type': 'volume', 'key': '1', 'value': 0}
[2025-06-13 20:05:07.123] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:07.432] UART: {'type': 'volume', 'key': '1', 'value': 257}
[2025-06-13 20:05:07.467] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:07.554] UART: {'type': 'volume', 'key': '1', 'value': 751}
[2025-06-13 20:05:07.589] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:07.684] UART: {'type': 'volume', 'key': '1', 'value': 1061}
[2025-06-13 20:05:07.715] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:07.805] UART: {'type': 'volume', 'key': '1', 'value': 1265}
[2025-06-13 20:05:07.834] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:08.038] UART: {'type': 'volume', 'key': '1', 'value': 1061}
[2025-06-13 20:05:08.064] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:08.160] UART: {'type': 'volume', 'key': '1', 'value': 553}
[2025-06-13 20:05:08.188] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:08.288] UART: {'type': 'volume', 'key': '1', 'value': 158}
[2025-06-13 20:05:08.320] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:08.417] UART: {'type': 'volume', 'key': '1', 'value': 11}
[2025-06-13 20:05:08.459] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:09.438] UART: {'type': 'volume', 'key': '2', 'value': 208}
[2025-06-13 20:05:09.466] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:09.568] UART: {'type': 'volume', 'key': '2', 'value': 483}
[2025-06-13 20:05:09.590] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:09.692] UART: {'type': 'volume', 'key': '2', 'value': 682}
[2025-06-13 20:05:09.718] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:09.820] UART: {'type': 'volume', 'key': '2', 'value': 876}
[2025-06-13 20:05:09.846] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:09.950] UART: {'type': 'volume', 'key': '2', 'value': 1165}
[2025-06-13 20:05:09.973] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:10.079] UART: {'type': 'volume', 'key': '2', 'value': 1280}
[2025-06-13 20:05:10.098] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:10.314] UART: {'type': 'volume', 'key': '2', 'value': 1168}
[2025-06-13 20:05:10.329] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:10.439] UART: {'type': 'volume', 'key': '2', 'value': 509}
[2025-06-13 20:05:10.455] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:10.553] UART: {'type': 'volume', 'key': '2', 'value': 0}
[2025-06-13 20:05:10.581] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:18.490] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 20:05:18.496] UART: {'type': 'proxy', 'key': 'distance', 'value': 9}
[2025-06-13 20:05:21.319] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:05:21.323] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:23.960] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:05:23.982] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:26.445] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:05:26.453] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:29.498] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:05:29.503] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:30.734] UART: {'type': 'key', 'key': 'pressed', 'value': 54}
[2025-06-13 20:05:30.773] UART: {'type': 'proxy', 'key': 'distance', 'value': 24}
[2025-06-13 20:05:35.894] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:05:35.900] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:38.395] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:05:38.401] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:41.030] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:05:41.034] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:46.227] UART: {'type': 'key', 'key': 'pressed', 'value': 54}
[2025-06-13 20:05:46.231] UART: {'type': 'proxy', 'key': 'distance', 'value': 25}
[2025-06-13 20:05:49.170] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:05:49.178] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:55.034] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:05:55.050] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:06:05.361] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:06:05.396] UART: {'type': 'proxy', 'key': 'distance', 'value': 79}
[2025-06-13 20:06:09.891] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:06:09.897] UART: {'type': 'proxy', 'key': 'distance', 'value': 37}
[2025-06-13 20:06:12.225] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:06:12.233] UART: {'type': 'proxy', 'key': 'distance', 'value': 34}
[2025-06-13 20:06:20.491] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:06:20.498] UART: {'type': 'proxy', 'key': 'distance', 'value': 40}
[2025-06-13 20:06:25.412] UART: {'type': 'key', 'key': 'pressed', 'value': 54}
[2025-06-13 20:06:25.417] UART: {'type': 'proxy', 'key': 'distance', 'value': 27}
[2025-06-13 20:06:27.475] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:06:27.518] UART: {'type': 'proxy', 'key': 'distance', 'value': 35}
[2025-06-13 20:06:28.124] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 20:06:28.162] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
